material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom
mp-757851,Li2Co3NiO8,56,P4_332,-1.358070485
mp-1178037,Li2CoNi3O8,56,P1,-1.288098482
mp-1177949,Li2Mn2V3O12,76,Pbcn,-2.227585735
mp-775099,Li2Mn3FeO8,56,P4_332,-1.954936146
mp-1177922,Li2Mn3VO8,56,P2_12_12_1,-2.186967915
mp-769550,Li2Mn5(FeO6)2,42,Cc,-1.953146277
mp-773804,Li2MnFe3O8,56,P4_332,-1.815892731
mp-1177891,Li2MnV3O8,56,R3,-2.43357068
mp-774300,Li3CoNi3O8,45,P-1,-1.42376841
mp-774814,Li3Mn2V3O12,80,P2_1/c,-2.302056938
mp-769530,Li3Mn4(FeO6)2,42,P-1,-1.983850388
mp-849955,Li3Mn5(FeO6)2,66,P1,-1.939473421
mp-774685,Li3Mn5FeO12,42,C2/c,-2.023431468
mp-1666401,Li3MnV4O12,40,C2,-2.377219737
mp-1177650,Li4Co2Ni5O12,69,P1,-1.410386276
mp-1641824,Li4Co5NiO12,44,C2/m,-1.468007365
mp-760844,Li4Mn2V3O12,84,P2_1/c,-2.344702154
mp-759274,Li4Mn2V5O12,46,P2_1,-2.350652941
mp-1177555,Li4Mn5(Fe2O9)2,62,Pm,-1.844407576
mp-759127,Li4Mn5(FeO6)2,46,P2_1,-1.99987616
mp-767370,Li4Ti2Mn3(Fe2O9)2,62,Pbam,-2.168311136
mp-774494,Li4Ti2Mn4(FeO6)3,62,Pbam,-2.18370315
mp-1177270,Li4Ti3Mn2(Fe2O9)2,62,Pmc2_1,-2.320213111
mp-774626,Li4Ti3Mn4(FeO9)2,62,Pmc2_1,-2.386982653
mp-767373,Li4Ti4Mn(Fe2O9)2,62,Pbam,-2.477002443
mp-774578,Li4Ti4Mn4FeO18,62,Pbam,-2.563060544
mp-766883,Li4Ti4Mn4VO18,62,Pbam,-2.657494978
mp-755607,Li5Co2Ni3O10,40,P-1,-1.600919093
mp-755076,Li5Co3(NiO5)2,40,P-1,-1.559328204
mp-760155,Li5Co4(NiO6)2,69,P1,-1.518505068
mp-775411,Li5Mn2Fe17O32,56,P1,-1.757577912
mp-755514,Li5Mn2Fe3O10,40,P-1,-2.001909186
mp-754473,Li5Mn2V3O10,40,P-1,-2.320868929
mp-756863,Li5Mn3V2O10,40,P-1,-2.294880366
mp-775954,Li5Mn7Fe3O20,70,C2/m,-1.928642258
mp-771896,Li5Mn8Fe11O32,56,Cm,-1.858616889
mp-764142,Li5MnV3O8,68,P4_332,-2.296890381
mp-1176867,Li8CoNi9O20,76,Pm,-1.396816837
mp-771651,Li8Mn13Fe3O32,56,P-1,-2.018988343
mp-831248,Li9Mn7V12O48,76,P1,-2.21142653
mp-760848,Li10Fe3Co7O20,40,P2/m,-1.789790542
mp-770651,Li10Fe9CoO20,40,P2/m,-1.917774059
mp-764262,Li10FeCo9O20,40,P1,-1.719829428
mp-775129,Li2Cr3(FeO6)2,76,Pbcn,-1.802654604
mp-777653,Li2Cr3FeO8,56,P1,-2.114950861
mp-762142,Li2Fe3CoO8,56,P4_32_12,-1.642854193
mp-771093,Li3Cr10Fe5O24,42,Cm,-2.167853941
mp-850397,Li4Cr2Fe5O12,46,P2_1,-1.951802745
mp-775227,Li4Fe5(CoO6)2,46,P2_1,-1.708840435
mp-775160,Li4Ti2Fe4(CoO6)3,62,Pbam,-1.948048396
mp-769457,Li4Ti4Cr(Fe2O9)2,62,Pbam,-2.493699517
mp-774870,Li4TiFe4(Co2O9)2,62,Pmc2_1,-1.709325915
mp-759913,Li5Cr3FeO8,68,P1,-2.183615987
mp-769566,Li5Fe2Co3O10,40,Pm,-1.803209097
mp-1176819,Li9Cr12Fe7O48,76,P1,-1.803694366
mp-1978851,Li4TiCo5O12,44,C2/c,-1.858209093
mp-759597,Li4TiCr5O12,66,P-1,-2.452083833
mp-768387,Li4TiCrO6,48,P1,-2.603753188
mp-756514,Li4Y3CrO8,64,C222,-2.982472026
mp-760135,Li5(CoO2)4,68,P1,-1.653816351
mp-766589,Li5(CoO2)8,58,P1,-1.538735324
mp-771191,Li5Co7O16,56,P2_1,-1.474711835
mp-760147,Li5CoO4,80,Pbca,-1.919076385
mp-754233,Li5CrO5,44,C2,-2.077513657
mp-18925,Li6CoO4,44,P4_2/nmc,-1.937202422
mp-781691,Li6Cr5O12,46,P2_1,-2.239312318
mp-758650,Li6MnNi7O16,60,P-1,-1.452632762
mp-772994,Li6Ti15Co3O32,56,R3m,-3.046832797
mp-774674,Li6Ti7Cr5O24,42,P-1,-2.943574472
mp-1640700,Li7Co5O12,48,P2/m,-1.741166758
mp-770861,Li8Cr2O9,76,P-1,-2.083851491
mp-771196,Li8Mn12Ni4O31,55,P1,-1.933928172
mp-772976,Li8Mn15NiO32,56,R32,-2.031767711
mp-776979,Li9(CoO4)2,76,Pca2_1,-1.849942752
mp-676252,Li9(RuO3)10,49,P-1,-1.568763532
mp-758645,Li9Co13O28,50,P1,-1.509413225
mp-851096,Li9Cr19O48,76,P1,-1.972036026
mp-769460,Li9Mn12Ni3O32,56,C2,-1.961634923
mp-759088,Li9Ti7Cr6O30,52,P3,-2.689998582
mp-759353,LiCo5O8,56,P4_332,-1.354812408
mp-772513,LiCr3O8,48,Pnma,-1.861248641
mp-770652,LiCr3O9,78,Cc,-1.693596022
mp-1639391,Li7Mn4CoO12,48,C2/m,-2.067672153
mp-775158,Li8Mn13Cr3O32,56,C2/m,-2.12527924
mp-770529,Li8Mn15CrO32,56,P1,-2.079074758
mp-851099,Li9Mn7Cr12O48,76,P1,-1.913352421
mp-850893,Li9V12Fe7O48,76,P1,-2.090852953
mp-776224,Li3V5O12,80,P2_1/c,-2.457602938
mp-1177934,Li3V8O16,54,P1,-2.458033101
mp-771780,Li3Zn(Fe5O8)4,56,Cm,-1.683307784
mp-1177501,Li3Zn2Fe19O32,56,Cm,-1.699840574
mp-850945,Li47(NiO4)8,87,P1,-1.860940654
mp-849405,Li4Cu2Ni5O12,46,P2_1,-1.316584592
mp-760830,Li4Fe2O5,44,P2_1/c,-1.938707667
mp-759241,Li4Fe7O12,46,P2_1,-1.796059729
mp-698705,Li4Mn13O24,41,P1,-2.00812001
mp-779008,Li4Mn3O8,60,R32,-2.092431328
mp-849516,Li4Mn5(CuO6)2,46,P2_1,-1.845462312
mp-756259,Li4Mn5NbO12,44,C2/m,-2.209454345
mp-691115,Li4Mn5O12,42,C2/c,-2.051456205
mp-758315,Li4Mn7O12,69,P1,-2.06908626
mp-1177463,Li4Mn9O18,62,Pbam,-1.970056962
mp-541578,Li4Mo5O17,52,P-1,-2.095071893
mp-768091,Li4Ni7O11,44,P-1,-1.41296329
mp-758275,Li4Ni7O12,69,P1,-1.32760136
mp-758960,Li4Ti2Fe5O12,46,P2_1,-2.26089554
mp-759589,Li4Ti2Mn5O12,46,P2_1,-2.455400278
mp-769508,Li4Ti2Mn7O18,62,Pbam,-2.285093775
mp-759757,Li4Ti2Ni5O12,46,P2_1,-2.02904841
mp-759236,Li4Ti2V5O12,46,P2_1,-2.608386733
mp-769491,Li4Ti2V7O18,62,Pmc2_1,-2.619155623
mp-769513,Li4Ti3Mn6O18,62,Pmc2_1,-2.447132392
mp-1177271,Li4Ti3V6O18,62,Pmc2_1,-2.720010698
mp-769512,Li4Ti4Mn5O18,62,Pbam,-2.60376947
mp-769487,Li4Ti4V5O18,62,Pbam,-2.814139923
mp-766836,Li4Ti5Mn4O18,62,Pbam,-2.751191548
mp-760000,Li4Ti5VO12,66,P-1,-2.997460563
mp-760999,Li4TiMn3O8,48,P1,-2.395259493
mp-769509,Li4TiMn8O18,62,Pmc2_1,-2.132118723
mp-769497,Li4TiV8O18,62,P1,-2.526566407
mp-851075,Li4V5O12,84,P2_1/c,-2.424471152
mp-758538,Li4V7O12,46,P2_1,-2.428055966
mp-1177174,Li4V9O18,62,Pbam,-2.431884337
mp-756449,Li4Y3FeO8,64,C222,-2.876646053
mp-756303,Li4Y3MnO8,64,C222,-2.916084586
mp-756980,Li4Y3VO8,64,C222,-3.012502496
mp-780142,Li5(NiO2)4,68,P4_332,-1.491887071
mp-758751,Li5(NiO2)8,58,P1,-1.257245705
mp-766727,Li5Fe11O16,64,P2_1/c,-1.746400129
mp-759022,Li5Fe5O12,44,P1,-1.708763837
mp-19511,Li5FeO4,80,Pbca,-2.040304658
mp-755409,Li5Mn2Cu3O10,40,P-1,-1.737864197
mp-755123,Li5Mn3Nb2O10,40,P-1,-2.430571619
mp-758791,Li5Mn5O12,44,P1,-2.033222468
mp-530177,Li5Mn7O16,56,Pnnm,-2.064808498
mp-755825,Li5MnO4,40,Pmn2_1,-2.036854165
mp-770510,Li5MnO4,80,Pbca,-2.056028754
mp-754582,Li5Nb2Fe3O10,40,P-1,-2.28806247
mp-754421,Li5Nb2V3O10,40,P-1,-2.497976504
mp-775480,Li5Nb6NiO18,60,P1,-2.75852761
mp-758491,Li5Ni9O16,60,P-1,-1.253977709
mp-771876,Li5NiO4,80,Pbca,-1.823779895
mp-1311067,Li5Ti2Mn3O10,40,P-1,-2.595848667
mp-771355,Li5Ti2Mn8O20,70,C2/m,-2.319796003
mp-760954,Li5Ti2V3O10,40,P-1,-2.701147565
mp-769637,Li5Ti6FeO16,56,P2_1,-3.065878974
mp-761048,Li5TiMn3O8,68,P1,-2.321582508
mp-778500,Li5TiMn9O20,70,P1,-2.186679813
mp-766385,Li5V12O32,49,Cm,-2.357192536
mp-773027,Li5V18O44,67,Pm,-2.364826007
mp-758739,Li5V5O12,44,P1,-2.449686145
mp-774871,Li5V6(CuO4)6,82,P2_1/c,-1.908639891
mp-768104,Li6(NiO2)13,45,P-1,-1.138794546
mp-780305,Li6Fe5O12,46,P1,-1.783269141
mp-756155,Li6FeO4,44,P4_2/nmc,-1.96017886
mp-757508,Li6Mn15O32,53,C2/m,-1.910622221
mp-758827,Li6Mn17O40,63,Cm,-1.761592521
mp-779719,Li6Mn5O12,46,P1,-2.099503539
mp-867994,Li6Mn9O20,70,C2/m,-2.043535677
mp-770533,Li6MnO4,44,P4_2/nmc,-2.049244322
mp-1570562,Li6NiO4,44,Cmm2,-1.885328821
mp-760815,Li6V5O12,46,P1,-2.456292218
mp-768079,Li7(NiO2)11,40,P-1,-1.261781578
mp-758820,Li7(NiO2)12,43,C2,-1.227327952
mp-675534,Li7Mn10O24,41,C2,-1.983639514
mp-675260,Li7Mn11O24,42,C2/m,-1.98122565
mp-773172,Li7Mn12Cu5O32,56,R3,-1.806651954
mp-757896,Li7Mn14O32,53,R3m,-1.933856477
mp-531650,Li7Mn16O32,55,I-42m,-1.958485424
mp-531248,Li7Mn17O32,56,I-42m,-1.96667822
mp-1175347,Li7Mn5O12,48,C2/m,-2.128350091
mp-767763,Li7Mn8O20,70,C2/m,-2.012361226
mp-758593,Li7Ni13O24,44,C2/m,-1.245496228
mp-772995,Li7Ti12Fe5O32,56,R3,-2.926987352
mp-771056,Li7Ti5Mn12O32,56,P1,-2.455157382
mp-1643420,Li8(FeO2)5,46,P-1,-1.803857469
mp-758772,Li8(NiO2)11,82,P1,-1.327359237
mp-779474,Li8Fe2O7,68,P2_1/c,-1.95861431
mp-772983,Li8Fe2O9,76,P-1,-1.841819935
mp-773132,Li8Mn2O9,76,P-1,-1.980619325
mp-759775,Li8Mn9O18,70,P1,-2.115056772
mp-772622,Li8Ti6Mn7O30,51,P3,-2.499373408
mp-767679,Li8TiMn3O12,48,P2,-2.290731758
mp-768084,Li8V11O22,41,P-1,-2.459176788
mp-756255,Li8VO6,60,P-1,-2.207564022
mp-775731,Li9(NiO4)2,76,Pca2_1,-1.699547156
mp-772996,Li9Fe23O32,64,C2,-1.701212601
mp-769514,Li9Mn12Cu3O32,56,R3,-1.884498099
mp-766830,Li9Mn14O32,55,Cm,-2.01623877
mp-767704,Li9Mn15O32,56,C2/m,-2.015496509
mp-690161,Li9Mn20O40,69,P1,-2.038296047
mp-776365,Li9Mn21O40,70,P1,-2.058711225
mp-530336,Li9Mn22O48,79,Cm,-1.912124839
mp-1176815,Li9Mn5O12,52,C2/c,-2.057065994
mp-849386,Li9Nb7V12O48,76,P1,-2.587547452
mp-759153,Li9Ni15O28,52,P-1,-1.287355187
mp-531942,Li9Ni23O32,64,P1,-1.351206059
mp-776279,Li9V19O48,76,P1,-2.408962153
mp-766679,Li9V21O40,70,I-4,-2.504866061
mp-776467,Li9Y(NiO4)2,80,Pnma,-2.04069603
mp-773010,LiFe23O32,56,R-3m,-1.616236139
mp-21735,LiFe5O8,56,P4_332,-1.709526014
mp-850511,LiFeO2,64,Pbca,-1.862459472
mp-766948,LiMn10O20,62,I4_1/a,-1.826747406
mp-694894,LiMn12O24,74,P2/c,-1.817675957
mp-1003549,LiMn16O32,49,Pm,-1.833733488
mp-775739,LiMn28O56,85,R3,-1.773627861
mp-22584,LiMn2O4,42,Fd-3m,-2.020669213
mp-763655,LiMn3O6,40,P1,-1.975385261
mp-1003315,LiMn4O8,52,P2_1/c,-1.920506128
mp-770866,LiMn5O8,56,P4_332,-2.018707654
mp-758753,LiMn6O12,57,C2,-1.862951348
mp-770641,LiMn7O12,80,I4_1/acd,-1.94917302
mp-1176738,LiMn7O14,88,C2/c,-1.856199671
mp-1016165,LiMn8O16,50,Pc,-1.864059159
mp-531604,LiMnO2,80,Cm,-2.14139345
mp-675370,LiMnO2,56,Pmm2,-2.142373549
mp-756475,LiMnO2,40,P-1,-2.107906736
mp-779788,LiMnO2,48,P1,-2.114466778
mp-774457,LiNb7V12O48,68,P1,-2.531123987
mp-757803,LiTi2V3O12,72,P1,-2.734021531
mp-764774,LiTi2V3O12,72,P2_1/c,-2.744180213
mp-774505,LiTi2VO6,40,P2_1/c,-3.062802662
mp-753531,LiTi3VO8,52,R-3m,-3.099075107
mp-769573,LiTiVO4,42,P1,-2.880023616
mp-774591,LiV18O44,63,Pm,-2.291583627
mp-760797,LiV24O58,83,P1,-2.299557136
mp-776037,LiV4O10,90,P-1,-2.34977389
mp-542050,LiV6O13,40,P-1,-2.412591113
mp-776036,LiV6O15,88,P2_1/c,-2.324549622
mp-767268,LiV9O22,64,P2_1/m,-2.305640773
mp-1222477,LiVZnO4,42,R3,-2.28666465
mp-771993,LiZn2Fe9O16,56,Cm,-1.68822653
mp-769606,LiZn4Fe13O24,42,Cm,-1.668206637
mp-771348,LiZn6Fe17O32,56,Cm,-1.658704415
mp-771267,LiZnFe7O12,42,Cm,-1.692872043
