t, MSD, MSD_a, MSD_b, MSD_c, MSCD
1000, 0.20719940958209265, 0.07272351713144726, 0.06564703612699212, 0.06882885632365374, 0.2767087813552778
1045, 0.2112182942422163, 0.07322428701950089, 0.06963797457456054, 0.0683560326481558, 0.27710275934746204
1090, 0.20651828145141782, 0.07213037606456262, 0.0662014596765495, 0.06818644571030592, 0.2716264440750579
1135, 0.21089385705686875, 0.07320201345237677, 0.0677646186393362, 0.06992722496515481, 0.28846831463837924
1180, 0.20742180720947753, 0.07136330327257887, 0.06628230614053836, 0.06977619779636078, 0.269642802013545
1225, 0.20987538572513487, 0.07336975730146036, 0.06751105690147939, 0.0689945715221935, 0.27491681344757324
1270, 0.2106517804231415, 0.07401521209394805, 0.0683245480911784, 0.06831202023801398, 0.27820699711453795
1315, 0.2049470563715782, 0.06964389303190281, 0.06729541490244001, 0.0680077484372343, 0.29010706765794314
1360, 0.21418294623989775, 0.07452596381545941, 0.0689703887945509, 0.07068659362988977, 0.2697602067007067
1405, 0.20555076637687214, 0.0711172255408765, 0.06664325574520122, 0.06779028509079438, 0.26891713213115
1450, 0.21341051354627527, 0.0748836795527514, 0.06676968057318132, 0.07175715342034457, 0.2715501273730504
1495, 0.2090258988781197, 0.07206523946445413, 0.06869111709577136, 0.06826954231789191, 0.28083991928302865
1540, 0.20661591756039321, 0.07124637634748104, 0.06681662869431589, 0.06855291251859635, 0.2879560562653641
1585, 0.21406170798815188, 0.07458206245254108, 0.06938772625338746, 0.07009191928222408, 0.2759232459457589
1630, 0.20641680133847345, 0.07112957027740519, 0.06614873229830869, 0.06913849876276029, 0.2785859251372431
1675, 0.2109739555205501, 0.0728285678519788, 0.06832654915941425, 0.06981883850915392, 0.28749252936289055
1720, 0.21171227001316878, 0.07321304934471215, 0.06883793107081881, 0.06966128959763947, 0.2649598326108575
1765, 0.20966326823289616, 0.07330295452159691, 0.0671973544518469, 0.06916295925945215, 0.2848485240547945
1810, 0.21003260202545365, 0.07236240627250037, 0.06829076821475426, 0.06937942753819784, 0.2790710469506597
1855, 0.2094817146334197, 0.07276446694656968, 0.06862308342829342, 0.0680941642585594, 0.29187634005123003
1900, 0.2134196274926874, 0.07507735272368651, 0.06725025425852665, 0.07109202051047392, 0.27854676854161453
1945, 0.2075084622905818, 0.07094851248180006, 0.06712065146697205, 0.06943929834180979, 0.2601537021091314
1990, 0.20729184931563227, 0.07121665352521861, 0.06790580310934778, 0.06816939268106793, 0.30674612241344856
2035, 0.21429420670991667, 0.0751982587366436, 0.06830079061240986, 0.07079515736086311, 0.2894875788024674
2080, 0.20821468391875636, 0.07322164798061327, 0.06728444221460926, 0.06770859372353256, 0.26929927958690153
2125, 0.21078829404975777, 0.0718417014668164, 0.0693807611353206, 0.06956583144762178, 0.2717296991409907
2170, 0.2087797428783714, 0.07285590179793246, 0.06655850039047122, 0.0693653406899705, 0.2943468657951066
2215, 0.20797131725059229, 0.07327266571419826, 0.0667250450270899, 0.06797360650930549, 0.2678286454560164
2260, 0.21349333541541587, 0.07541947405759629, 0.06890528115986982, 0.06916858019794792, 0.2864958145193176
2305, 0.205905553177776, 0.0698851426971543, 0.06644628457772835, 0.06957412590289455, 0.26937255741043475
2350, 0.2091921602429499, 0.07404441997148432, 0.0679864710767508, 0.06716126919471284, 0.2886095662964996
2395, 0.21288487955539526, 0.07249734685915135, 0.06964974260363582, 0.07073779009260779, 0.2895343847064301
2440, 0.20934204651780622, 0.07350252502188126, 0.06560601079366947, 0.07023351070225603, 0.2654068273703187
2485, 0.20923100289928473, 0.07162776940290422, 0.07001047156413008, 0.0675927619322516, 0.2920275656156775
2530, 0.21193006502027112, 0.07374388688699234, 0.06665599509583, 0.07153018303744747, 0.2844799231432101
2575, 0.21058204282754506, 0.07497523211571641, 0.06786615632693246, 0.06774065438489765, 0.28587459963092005
2620, 0.20647386795462375, 0.07023587750905165, 0.06774923768361905, 0.06848875276195403, 0.27340289980498894
2665, 0.21202879577394532, 0.07366000120566223, 0.06766278167962142, 0.0707060128886585, 0.28779693087411734
2710, 0.21118087493041734, 0.07401888751293308, 0.06717504317506993, 0.0699869442424133, 0.3016264395253691
2755, 0.2089889504898393, 0.07234230810020433, 0.0681721836987851, 0.06847445869085113, 0.2735613777933165
2800, 0.21123753935388895, 0.07300599356536285, 0.06792982684769824, 0.07030171894082993, 0.2654116813967503
2845, 0.20779552339725554, 0.07215473572983828, 0.0672697981374001, 0.06837098953001872, 0.2996327265480361
2890, 0.21111115413661122, 0.07354950296700857, 0.06841942639897487, 0.069142224770627, 0.27229311510320753
2935, 0.21131134410385516, 0.07312373714029409, 0.06663153933035475, 0.07155606763320305, 0.2893109511521702
2980, 0.20844185903058077, 0.07256288075792786, 0.06825970822921187, 0.06761927004344079, 0.28589168736620724
3025, 0.2121447908295478, 0.07327879214965788, 0.06861129490077374, 0.07025470377911366, 0.2754502133792549
3070, 0.21076143480344997, 0.07338652758063131, 0.06635916514998294, 0.07101574207283459, 0.29879559271880685
3115, 0.20727692738946663, 0.07194953946710024, 0.06829640486900908, 0.06703098305335743, 0.2847332653722118
3160, 0.20946217138911838, 0.07290062557453157, 0.06646080793932813, 0.07010073787525892, 0.2615220906674053
3205, 0.21317875606564823, 0.07476494724590889, 0.06763369094169355, 0.07078011787804726, 0.2899714411818811
3250, 0.20971318070513995, 0.07262526265761798, 0.06916466835289078, 0.06792324969463247, 0.28399265548504177
3295, 0.21276993022123358, 0.0738063832485446, 0.06837086840182854, 0.07059267857086055, 0.2810682645192973
3340, 0.20563778299301413, 0.0712372886387845, 0.06518531217973128, 0.06921518217449643, 0.2826023406825885
3385, 0.21415111311926435, 0.07534514258252663, 0.06874967451883403, 0.0700562960179023, 0.27013515964148943
3430, 0.20727496526601163, 0.07297324227688298, 0.06483344587240812, 0.06946827711672078, 0.26793947699039516
3475, 0.21028668093936792, 0.07218065697014858, 0.06866345750869714, 0.06944256646052073, 0.29902510348652844
3520, 0.2101048841503453, 0.0733066313119323, 0.06831549653783489, 0.06848275630057928, 0.2650336665922548
3565, 0.21502859100623067, 0.07561415299114199, 0.06887959757492802, 0.07053484044015826, 0.27474612391599107
3610, 0.20591607706476545, 0.0711231381266148, 0.06571836147954004, 0.06907457745860796, 0.2778090695993181
3655, 0.21140250098002134, 0.07317667909230749, 0.0679917634691557, 0.0702340584185594, 0.28051900946974206
3700, 0.20938021274975194, 0.07331717322869816, 0.06656061763802364, 0.06950242188303023, 0.2743825078495111
3745, 0.21252944236536547, 0.07404787059430044, 0.06976834449178025, 0.06871322727928383, 0.2737424640610931
3790, 0.21016035167487682, 0.07305659415490537, 0.0663002385327999, 0.07080351898716931, 0.29352394876205323
3835, 0.211591780552601, 0.07406779366642664, 0.06820232668073667, 0.06932166020543841, 0.2629120877514584
3880, 0.20981096148729952, 0.07351606590606113, 0.06679295686370522, 0.0695019387175324, 0.2610987386488131
3925, 0.21372962966309195, 0.0746170629197154, 0.06892480317195927, 0.07018776357141575, 0.3053727500306127
3970, 0.20764850196652052, 0.07158333780622489, 0.06748510144556438, 0.06858006271473309, 0.2694775650472278
4015, 0.2110215710217386, 0.07380169369510056, 0.06757859292847015, 0.06964128439816883, 0.2579975016454851
4060, 0.20801248719634235, 0.07243900183879343, 0.06729033946085321, 0.06828314589669686, 0.2928256283974825
4105, 0.2142523099283266, 0.07444848465163396, 0.0686209108553355, 0.07118291442135788, 0.28601673062156274
4150, 0.20715477814905559, 0.07256254577497816, 0.0657844816333579, 0.06880775074071949, 0.26900918317068634
4195, 0.2110817888825537, 0.07391815257430166, 0.0680656296721839, 0.06909800663607042, 0.26557526885607013
4240, 0.21072386003364912, 0.0728467971630003, 0.06923102967758057, 0.06864603319306596, 0.26230438149980484
4285, 0.21239978042553173, 0.07440956880258927, 0.06811294827282234, 0.06987726335012115, 0.3024135844803748
4330, 0.2090690332714548, 0.07165327358491046, 0.0679090241094865, 0.06950673557706008, 0.27743853760911785
4375, 0.20965964676980212, 0.07307046796495065, 0.06783355502615378, 0.06875562377869565, 0.2493101950805427
4420, 0.2124558947653437, 0.07491655829487451, 0.06825607224094503, 0.06928326422952122, 0.2876002562155941
4465, 0.20849843728760997, 0.07008258914403809, 0.06825646627567354, 0.0701593818678995, 0.30326382301713395
4510, 0.20879416993134797, 0.07410904607903475, 0.06652383243264, 0.06816129141967303, 0.2531682267513541
4555, 0.21397896766512015, 0.07394315477830243, 0.06973403715662121, 0.07030177573019682, 0.2742613690554965
4600, 0.20489308116258376, 0.07036490030605337, 0.06689899445062998, 0.06762918640589893, 0.29053071746318865
4645, 0.21118253717474522, 0.07313328771898817, 0.06890227263623774, 0.06914697681952181, 0.26667452052509416
4690, 0.20859648883435816, 0.07332750074402528, 0.06581974151950451, 0.06944924657082897, 0.2736317914724707
4735, 0.21435720683878062, 0.07279860644428286, 0.07138924438743986, 0.07016935600705605, 0.28305996561330377
4780, 0.20481970084276183, 0.07078996678709734, 0.06559645958117732, 0.06843327447448586, 0.2767211527225835
4825, 0.21001791880223633, 0.07207798499831042, 0.06754405884437074, 0.07039587495955563, 0.2664334060901079
4870, 0.20905709535212896, 0.07337529373227455, 0.06666076197078323, 0.06902103964907004, 0.2763892729851451
4915, 0.20824804948361414, 0.07282784334634482, 0.06739660117330536, 0.06802360496396262, 0.27705400039088557
4960, 0.21074972841353312, 0.07301287742271474, 0.06850941602785943, 0.0692274349629594, 0.2801947050221775
5005, 0.20766570089912256, 0.07087107360914077, 0.06670266370469874, 0.07009196358528623, 0.2565245521140775
5050, 0.2089423508343397, 0.07256564138849929, 0.06728589138637817, 0.06909081805945945, 0.291877560183074
5095, 0.21169054931664094, 0.07278447285264773, 0.07027545988527296, 0.06863061657872346, 0.26133954249027275
5140, 0.2054568129027084, 0.07053492282354931, 0.06471167651916712, 0.07021021355999217, 0.2783036579834904
5185, 0.2141128283917903, 0.07596510096401676, 0.06896543779707465, 0.06918228963069864, 0.29457090391806157
5230, 0.2072080560276665, 0.06966041771373718, 0.0677396042862403, 0.06980803402768765, 0.27660092322720453
5275, 0.20657385688896962, 0.07101084025528004, 0.06680389213497656, 0.06875912449871449, 0.2639785916928069
5320, 0.21235903508712473, 0.07437344522651437, 0.06740947007930263, 0.07057611978130741, 0.28539192327990875
5365, 0.2071847298882657, 0.0731781330169024, 0.06612824538309865, 0.06787835148826346, 0.2749756602425727
5410, 0.2029676543821204, 0.06883784309149889, 0.06631539905787162, 0.06781441223274973, 0.2638350858704836
5455, 0.21558992559895857, 0.07518799690034547, 0.06899320284906589, 0.0714087258495484, 0.28651102832825853
5500, 0.20759165838878635, 0.07240574906365169, 0.06785076090547357, 0.06733514841966014, 0.26897896745844163
5545, 0.2060475194397716, 0.06902801339514227, 0.06620516051116236, 0.07081434553346874, 0.28122980317418467
5590, 0.2117853469192622, 0.07360529653311702, 0.06795247260328902, 0.07022757778285409, 0.26035469516560295
5635, 0.20536763649166206, 0.07102088070485943, 0.06600104725654815, 0.0683457085302525, 0.27201981228665956
5680, 0.20617456586920435, 0.07054295444400753, 0.06572685492387838, 0.0699047565013178, 0.2936625715388143
5725, 0.20745908821532044, 0.07096634072428012, 0.06817685689776683, 0.06831589059327293, 0.2600000432995686
5770, 0.20761981159777013, 0.07055629463220932, 0.0677034135023519, 0.06936010346320863, 0.25093453502781893
5815, 0.20842241083997085, 0.07148685847361287, 0.0677345477493919, 0.06920100461696581, 0.2770475504004749
5860, 0.2075236168621381, 0.07098173198395712, 0.0672412491728662, 0.06930063570531632, 0.2928450983785043
5905, 0.20764443520573692, 0.07089557212178639, 0.06699325169780279, 0.06975561138614655, 0.28255454575679695
5950, 0.20873292670805235, 0.07064845870595823, 0.06853148726321874, 0.06955298073887496, 0.2640146197053946
5995, 0.20623253512844442, 0.07161466217504864, 0.06629924171031888, 0.06831863124307762, 0.29547206450874575
6040, 0.20607179405903828, 0.07108504261598131, 0.0656561349793986, 0.0693306164636584, 0.27934631794746095
6085, 0.20710153770932302, 0.06904640682587682, 0.06842366618901269, 0.06963146469443268, 0.263253855045918
6130, 0.20232211669330039, 0.0710659357444885, 0.06477158718539235, 0.06648459376342147, 0.2842377534665247
6175, 0.21067457958705532, 0.07111178986551642, 0.06972236863753438, 0.06984042108400612, 0.28346846633875855
6220, 0.2081921149057276, 0.07018200659592587, 0.06828341542180817, 0.06972669288799473, 0.271664447317255
6265, 0.20377076922268778, 0.07203824874284795, 0.06564005222036495, 0.06609246825947356, 0.26342080085763125
6310, 0.2110191752155852, 0.07150014624531845, 0.0693874386233136, 0.07013159034695124, 0.27853651554242753
6355, 0.20488271972821379, 0.06900272371170788, 0.06794200023085516, 0.06793799578565032, 0.2798460100153744
6400, 0.20451820354073502, 0.07010441476347043, 0.06633021375694825, 0.06808357502031534, 0.2460778768130368
6445, 0.2055823184754751, 0.07045655203771842, 0.06633439071734057, 0.0687913757204169, 0.28633055066970914
6490, 0.21180660229679193, 0.07127615377420302, 0.07119750877643397, 0.06933293974615633, 0.2464653347391874
6535, 0.20712720618456942, 0.07287495498066678, 0.06514721542989743, 0.06910503577400516, 0.2622426547215646
6580, 0.20466788208639286, 0.06746226330559808, 0.0695806171213821, 0.06762500165941188, 0.30751773694754925
6625, 0.20925807400107826, 0.07195792884544988, 0.067074405287399, 0.07022573986822955, 0.24834493134053512
6670, 0.209095770531606, 0.07163697861246035, 0.06919269138145634, 0.06826610053768922, 0.25173722201395354
6715, 0.20418395947026444, 0.06966956651249658, 0.06630220857582743, 0.06821218438194172, 0.3009676404496624
6760, 0.2059836972651487, 0.0711605263586973, 0.0664693762967494, 0.06835379460970346, 0.2513889986791617
6805, 0.20413270477399217, 0.07057184846941673, 0.06532884852198992, 0.06823200778258681, 0.22649991548225099
6850, 0.2127324394750587, 0.07258928521138543, 0.06929148845589787, 0.07085166580777547, 0.3141306660027315
6895, 0.1987225555731509, 0.06692150957142905, 0.06642172603279314, 0.06537931996893086, 0.2465725312471195
6940, 0.2099971870946358, 0.07253249519365285, 0.0682963754752926, 0.06916831642569016, 0.247192445289645
6985, 0.20351719438639163, 0.0697496621318507, 0.06583261726019043, 0.06793491499435025, 0.26035669816302054
7030, 0.20868832997043973, 0.07187566410630611, 0.0681932477478318, 0.06861941811630075, 0.26339407487532457
7075, 0.20727998885500326, 0.07027849526037688, 0.06591381462705634, 0.07108767896756867, 0.24740346210300784
7120, 0.20070708215032662, 0.0694938715725662, 0.06502091173242432, 0.06619229884533694, 0.2623290631037815
7165, 0.21424648565746712, 0.07278834096626982, 0.07192409343864509, 0.06953405125255153, 0.27119392123418673
7210, 0.19901965435068072, 0.06748790061615374, 0.06322114014921393, 0.06831061358531229, 0.2055806496892139
7255, 0.20599548278165425, 0.07000662547387963, 0.06706110594805237, 0.06892775135972265, 0.290912567260075
7300, 0.21380666282747562, 0.07358774311467219, 0.0710264181411963, 0.06919250157160578, 0.27591330449306983
7345, 0.20160410310684748, 0.06768902175042571, 0.06363207005545467, 0.07028301130096679, 0.23750575652674472
7390, 0.21158632490438695, 0.0730373590918773, 0.06883745359492063, 0.06971151221758792, 0.2490326398238108
7435, 0.20261406125927853, 0.06890674233458051, 0.06672604162157496, 0.06698127730312421, 0.2961245046960147
7480, 0.20797045205937428, 0.07319354316373779, 0.06662276105518426, 0.06815414784045339, 0.22516028239509228
7525, 0.20282252753999336, 0.06847788875267984, 0.06436883509334611, 0.06997580369396969, 0.26379928857867085
7570, 0.21083677182637078, 0.07003812807599377, 0.07115244877361462, 0.06964619497676408, 0.270051588448584
7615, 0.2064100167044169, 0.07215455450869145, 0.0633540453518985, 0.0709014168438256, 0.25374156648483576
7660, 0.20677640789778287, 0.06903799379360323, 0.06955447833548319, 0.06818393576869772, 0.24318563489334583
7705, 0.20416552697595314, 0.07029557579332488, 0.06557311760840456, 0.06829683357422295, 0.2834283566425306
7750, 0.20609860870039692, 0.06765869514080824, 0.06781154306414772, 0.07062837049544193, 0.25206434411275536
7795, 0.20892894373980386, 0.07229620589125901, 0.06661446283402889, 0.07001827501451645, 0.27111678284054563
7840, 0.2023203160706794, 0.06827612129650097, 0.065055879539277, 0.06898831523490052, 0.30357578694585197
7885, 0.21356483244565255, 0.07167812071406256, 0.06889758431128927, 0.07298912742029876, 0.23980784238140526
7930, 0.2043538989628244, 0.06960101037506974, 0.06560517674658464, 0.06914771184116998, 0.24644919992183284
7975, 0.19913310096891326, 0.06745955676816803, 0.06647328365908305, 0.06520026054166253, 0.24725865709081865
8020, 0.20911643416302886, 0.07275338952563336, 0.06707563003117475, 0.06928741460622219, 0.2523841184449558
8065, 0.2025534297313346, 0.07029326357694744, 0.06426991437515933, 0.06799025177922863, 0.2470440474112806
8110, 0.20133643747404006, 0.06854229269607792, 0.06395937669528172, 0.06883476808268046, 0.24494516394356464
8155, 0.21491448161220558, 0.07473123565430596, 0.06745841080057616, 0.07272483515732252, 0.25553109757508025
8200, 0.20015124340997137, 0.06801841460743974, 0.06672568469603166, 0.06540714410649913, 0.23228651748239101
8245, 0.19834307691409023, 0.06863053921231202, 0.06365838207555642, 0.06605415562622238, 0.25383001498928026
8290, 0.2130374120984589, 0.07261038291072507, 0.06942489687418278, 0.0710021323135529, 0.27528696230704613
8335, 0.2021040399629309, 0.07014203233399618, 0.06293198128841763, 0.06903002634051694, 0.25194709690802247
8380, 0.2028561543000062, 0.06535082802354378, 0.06860144020259672, 0.06890388607386606, 0.21496437450758488
8425, 0.2116226487076709, 0.07461611651232919, 0.06666161101573286, 0.07034492117960821, 0.2876753647705948
8470, 0.20904368255449515, 0.07628007752235062, 0.06531763855779824, 0.06744596647434516, 0.2594961119474489
8515, 0.1973240073875835, 0.0659398204403031, 0.06802743526517052, 0.06335675168210944, 0.2243337460727305
8560, 0.21341670730222823, 0.0711058318411054, 0.06998154939711052, 0.07232932606401313, 0.30344630619175594
8605, 0.20876515977071192, 0.07639316884196833, 0.06176932553612923, 0.0706026653926137, 0.233388774352146
8650, 0.20016540341030725, 0.060692385255637825, 0.06791699452444051, 0.07155602363022935, 0.294845927517895
8695, 0.21918900390059015, 0.07556470674990502, 0.07322697969262741, 0.07039731745805689, 0.28692549994305566
8740, 0.19975426477263125, 0.0671883116606794, 0.06345246752563481, 0.06911348558631764, 0.245090970993239
8785, 0.20674641637290686, 0.06816579185260892, 0.06872651349155137, 0.06985411102874546, 0.2910813694988375
8830, 0.21274457557520235, 0.07514456180213416, 0.06635818071677047, 0.07124183305629866, 0.26995445363718557
8875, 0.20803458299588845, 0.06575117382402729, 0.07415102155084309, 0.06813238762101835, 0.23865583412891575
8920, 0.20789259528903634, 0.07155817039036819, 0.06472449350626469, 0.07160993139240306, 0.31395878388163156
8965, 0.2223805260850819, 0.0740742681267008, 0.07378247965555354, 0.07452377830282686, 0.23230663697523127
9010, 0.20112260069975207, 0.06731061788681225, 0.06895377582613502, 0.06485820698680475, 0.2643835145766196
9055, 0.20738564425910833, 0.07097293571413293, 0.06482305228240302, 0.07158965626257181, 0.2719255572694845
9100, 0.21852708152331018, 0.06908668471725812, 0.07280988546986289, 0.07663051133618945, 0.21941342416291723
9145, 0.2037999609525326, 0.06654230691229156, 0.06346060894224473, 0.0737970450979967, 0.2726206799005108
9190, 0.21287471805268549, 0.06499167240113846, 0.07649170052041569, 0.07139134513113221, 0.2174248219442659
9235, 0.2073863257962405, 0.07003417114902619, 0.06363327069750219, 0.07371888394971252, 0.2601455177071881
9280, 0.20930581317017635, 0.06573129120961171, 0.07133026534774997, 0.07224425661281454, 0.215215540224874
9325, 0.21714878760379291, 0.07139257819081013, 0.06848372608530783, 0.07727248332767486, 0.24260526331522805
9370, 0.2148455023380157, 0.06909228969470722, 0.06671994954531463, 0.07903326309799369, 0.23806574268091285
9415, 0.22323848371843028, 0.07192328067342194, 0.07065815402618442, 0.08065704901882385, 0.316481353986985
9460, 0.21861776851006287, 0.07259577915782132, 0.07549015016737087, 0.07053183918487015, 0.24839980019661034
9505, 0.20836761695123762, 0.06772858839651509, 0.06482216852702394, 0.07581686002769947, 0.2336154839726186
9550, 0.22514546732905844, 0.07576255695867516, 0.06881252593683862, 0.08057038443354526, 0.29390898941943533
9595, 0.21261562347135063, 0.06028827769201136, 0.0737174637823387, 0.07860988199700134, 0.22313363124012606
9640, 0.2176110608317754, 0.0682667263664646, 0.07351914361702971, 0.07582519084828118, 0.2415064842665021
9685, 0.20360995891296957, 0.063126803729727, 0.07128772573950774, 0.0691954294437346, 0.2378291449832255
9730, 0.21608390345863354, 0.06676574251808254, 0.07306763185481291, 0.07625052908573857, 0.26161151754564654
9775, 0.21193239291148694, 0.060432633266905844, 0.07646466385153623, 0.07503509579304456, 0.20077535308868463
9820, 0.20288830209680847, 0.06011857025828738, 0.0705075876037529, 0.07226214423476834, 0.25083153569953026
9865, 0.19801031952456272, 0.06869203033791861, 0.0642222928806198, 0.06509599630602445, 0.12232999364694479
9910, 0.20661454146025482, 0.06235724808270843, 0.08562675156732243, 0.058630541810224084, 0.3657453654698711
9955, 0.22029189662085263, 0.08175108725804711, 0.07484077581943988, 0.06370003354336556, 0.2963110692755672
