d_pi_d	d_pi_D	e_pi_d	e_pi_D	L_Alk	B1_Alk	B5_Alk	L_Ar	B1_Ar	B5_Ar	er(%)
3.54	3.54	-10.24	-10.24	4.36	2.92	3.35	6.38	1.77	3.15	1.71
3.54	3.54	-10.24	-10.24	4.35	2.09	3.34	6.38	1.77	3.15	3.36
3.54	3.54	-10.24	-10.24	4.38	1.73	3.33	6.38	1.77	3.15	3.78
3.54	3.54	-10.24	-10.24	3.08	1.70	2.20	6.38	1.77	3.15	5.03
3.49	3.49	-11.88	-11.88	3.08	1.70	2.20	6.38	1.88	4.52	5.03
3.51	3.51	-11.78	-11.78	3.08	1.70	2.20	6.63	1.83	4.41	4.87
3.48	3.49	-13.31	-12.31	3.08	1.70	2.20	7.23	1.82	4.64	3.97
3.50	3.50	-11.12	-10.05	3.08	1.70	2.20	6.38	1.77	4.71	4.18
3.56	3.56	-13.94	-13.94	3.08	1.70	2.20	7.42	1.93	4.55	6.38
3.41	3.46	-14.33	-15.74	3.08	1.70	2.20	6.41	1.77	5.62	2.52
3.54	3.54	-14.30	-14.30	3.08	1.70	2.20	8.54	2.10	4.04	5.03
3.63	3.83	-13.10	-10.63	3.08	1.70	2.20	8.58	1.70	6.54	19.4
3.68	3.90	-10.21	-9.35	3.08	1.70	2.20	8.42	2.16	4.87	13.4
3.67	3.92	-11.09	-8.77	3.08	1.70	2.20	8.57	1.70	4.54	11.1
3.68	3.90	-10.21	-9.35	4.35	2.09	3.34	8.42	2.16	4.87	9.56
3.67	3.92	-11.09	-8.77	4.35	2.09	3.34	8.57	1.70	4.54	6.16
3.46	3.46	-9.97	-9.97	4.36	2.92	3.35	6.38	1.77	3.15	1.28
3.46	3.46	-9.97	-9.97	4.35	2.09	3.34	6.38	1.77	3.15	2.39
3.46	3.46	-9.97	-9.97	4.38	1.73	3.33	6.38	1.77	3.15	3.36
3.46	3.46	-9.97	-9.97	3.08	1.70	2.20	6.38	1.77	3.15	4.04
3.33	3.46	-14.98	-13.91	3.08	1.70	2.20	6.41	1.77	5.62	2.56
3.35	3.53	-14.43	-13.12	3.08	1.70	2.20	8.53	1.77	4.27	1.95
3.46	3.46	-14.53	-14.09	3.08	1.70	2.20	8.54	2.10	4.04	2.48
3.43	3.45	-14.07	-12.93	3.08	1.70	2.20	8.58	1.70	6.54	4.32
3.49	3.52	-11.90	-10.84	3.08	1.70	2.20	8.42	2.16	4.87	7.42
3.51	3.56	-11.84	-10.27	3.08	1.70	2.20	8.57	1.70	4.54	4.87
3.49	3.52	-11.90	-10.84	4.35	2.09	3.34	8.42	2.16	4.87	5.86
3.51	3.56	-11.84	-10.27	4.35	2.09	3.34	8.57	1.70	4.54	5.48